Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%)
-26.9179,118.6444,AUS.WA.336035,21401,6000,17000,9000,1800,2555363389,1238618969,400584874.5,916159545.4,0,599626.4224,120161767.6,0.254533996,0,0,1969558248,0,2.86E-09,0,100,25,53%
-25.5443,119.348,AUS.WA.568323,20952,7000,17000,9000,1876,2543875826,1205780756,438932815.4,899162254.9,0,588501.6958,119504050.7,0.253140779,0,0,1969558248,0,3.33E-09,0,100,25,54%
-24.237,115.9535,AUS.WA.652958,17661,30000,17000,5000,1719,3161757860,1045557022,1534259718,581941119.8,0,380880.4629,103281264.3,0.218776682,0,0,1969558248,0,1.24E-09,0,100,25,70%
-27.5191,120.588,AUS.WA.652960,16765,33000,17000,5000,5895,3355132936,953072932.3,1946292734,455767269.4,0,298299.6778,93054851.59,0.19711447,0,0,1969558248,0,1.05E-09,0,100,25,77%
-20.1656,139.4582,AUS.QLD.334842,17118,32000,17000,5000,7180,3152880901,977802054.8,1602516413,572562433.2,0,374742.1126,103669278.6,0.219598598,0,0,1969558248,0,1.28E-09,0,100,25,71%
-18.609,143.993,AUS.QLD.334950,22938,6000,17000,9000,1840,2579280277,1275410531,315501145,988368600.4,0,646887.249,126828204.8,0.26865525,0,0,1969558248,0,2.17E-09,0,100,25,50%
-20.7187,140.6487,AUS.QLD.334977,22587,6000,17000,9000,1778,2606287632,1293917288,339794379.7,972575964.1,0,636550.9685,124580712.6,0.263894475,0,0,1969558248,0,3.37E-09,0,100,25,51%
-21.6549,121.5709,AUS.WA.335579,18462,31000,17000,5000,1000,3180313183,1055741205,1592819833,531752144.7,0,348031.7787,99110934.76,0.209942836,0,0,1969558248,0,1.36E-09,0,100,25,73%
-22.1991,122.3141,AUS.WA.335631,19065,32000,17000,5000,1024,3190790383,1092849571,1573757009,524183803.8,0,343078.2996,99821158.55,0.211447275,0,0,1969558248,0,1.02E-09,0,100,25,73%
-29.1785,116.9774,AUS.WA.335652,16609,30000,17000,6000,3424,3260575728,941091626.3,1813930081,505554021,0,330885.1067,95715507.43,0.202750434,0,0,1969558248,0,1.27E-09,0,100,25,74%
-22.6513,136.268,AUS.NT.334762,15191,34000,17000,6000,1195,3288858649,879981270.3,1911952583,496924796.2,0,325237.2791,97931106.76,0.207443652,0,0,1969558248,0,1.11E-09,0,100,25,75%
