Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%)
-31.5161,145.8551,AUS.NSW.334374,24289,9000,17000,5000,2419,2651690938,1253637225,500723170.6,897330542,-58257.7975,587302.8398,121807717.3,0.258020547,7150,0,1969558248,14051226.41,2.21E-09,0,100,25,54%
-31.5212,145.8578,AUS.NSW.334832,24289,9000,17000,5000,2419,2651690938,1253637225,500723170.6,897330542,-58257.7975,587302.8398,121807717.3,0.258020547,7150,0,1969558248,14051226.41,2.21E-09,0,100,25,54%
-31.2586,146.8719,AUS.NSW.334834,18431,33000,17000,5000,6553,3065184715,944282809,1511632623,609269283.9,-83894.97412,398766.7463,109978397.8,0.23296296,4275,0,1969558248,12544348.79,1.35E-09,0,100,25,69%
-35.5901,149.4372,AUS.NSW.335061,27322,17000,17000,5000,1000,2530675096,1178712737,343479029.5,1008483329,-21640.73877,660052.339,139766844,0.296062666,9050,0,1969558248,7249874.426,1.28E-09,0,100,25,49%
-31.3956,146.7216,AUS.NSW.335156,23973,7000,17000,5000,1816,2568105468,1229868743,353723981.9,984512742.5,-47211.37056,644363.59,127447864.2,0.26996785,7225,0,1969558248,11856026.75,1.98E-09,0,100,25,50%
-32.9135,148.0498,AUS.NSW.335362,24140,7000,17000,9000,1758,2502645773,1166826652,325437063.1,1010382058,-35215.37738,661295.0569,131904768.8,0.279408738,9250,0,1969558248,12753324.39,2.18E-09,0,100,25,49%
-12.9939,130.9975,AUS.NT.336105,25998,5000,17000,11000,1802,2545987466,1315969640,147833082.3,1082184744,-35472.66799,708289.9148,135877660.1,0.287824359,7900,0,1969558248,10795724.3,1.24E-09,0,100,25,45%
-19.6671,134.22,AUS.NT.336129,17716,33000,17000,5000,5929,3345909093,1019039450,1868994679,457874964.8,-87117.11665,299679.1644,93287026.32,0.197606277,3500,0,1969558248,10226658.84,9.78E-10,0,100,25,77%
-22.6868,136.2415,AUS.NT.336208,15913,33000,17000,5000,1000,3285334553,918183341.4,1866190619,500960592.7,-21318.51165,327878.7079,97735436.38,0.207029171,4200,0,1969558248,3193798.949,1.00E-09,0,100,25,75%
-31.1637,121.0857,AUS.WA.335026,22555,6000,17000,8000,1704,2552877333,1203398013,410107162.3,939372158.1,-35618.26786,614819.0775,123010503,0.260568361,7650,0,1969558248,9999144.636,2.03E-09,0,100,25,52%
-23.432,117.9,AUS.WA.335066,25865,9000,17000,5000,2577,2803752110,1465402519,438884908.4,899464683.2,-57778.05171,588699.6351,121359493.4,0.257071091,5875,0,1969558248,13609753.88,2.02E-09,0,100,25,54%
-32.7509,116.3581,AUS.WA.335111,17040,31000,17000,6000,2720,3363222329,850615362,2041420576,471186390.7,-56078.2172,308391.4927,93109118.36,0.197229422,4100,0,1969558248,8487247.925,9.32E-10,0,100,25,76%
-41.2021,146.8156,AUS.TAS.334630,21395,30000,17000,6000,1291,3262756553,839863955,1891636252,531256345.7,-25639.43829,347707.2783,101093201.6,0.214141794,5900,0,1969558248,6069354.789,1.23E-09,0,100,25,73%
-41.4269,145.5264,AUS.TAS.335457,30768,28000,17000,5000,1233,2543533105,1013455125,630540399.4,899537580.6,-29640.02428,588747.3465,143496821.2,0.303963731,9600,0,1969558248,9796646.741,1.32E-09,0,100,25,54%
-42.061,145.5855,AUS.TAS.335962,33644,8000,17000,5000,1304,2472026390,1049972637,335574403,1086479350,-30175.32781,711100.7346,146782991.9,0.310924699,12200,0,1969558248,13258835.84,2.14E-09,0,100,25,45%
-17.295,128.1877,AUS.WA.335365,22762,6000,17000,10000,1791,2523875614,1262504496,252568524.3,1008802593,-32139.34275,660261.2974,128484137.4,0.272162948,5625,0,1969558248,7722197.089,1.72E-09,0,100,25,49%
-20.9825,116.8648,AUS.WA.335472,18558,28000,17000,5000,1000,2985708089,1095472681,1293654749,596580658.7,-21771.4644,390462.0411,103410844.1,0.219051166,4575,0,1969558248,3624240.205,8.64E-10,0,100,25,70%
-27.4555,120.5775,AUS.WA.335559,21616,7000,17000,9000,2158,2581959298,1228586341,454917465.1,898455491.4,-43391.45418,588039.1191,119843586,0.253860004,6450,0,1969558248,11444653.13,2.41E-09,0,100,25,54%
-21.545,140.497,AUS.QLD.335859,16651,34000,17000,5000,6796,3290693026,958300194.1,1802026808,530366023.9,-88265.03199,347124.5626,101151343.4,0.214264954,4650,0,1969558248,14561261.89,1.21E-09,0,100,25,73%
-19.474,139.3889,AUS.QLD.335937,17956,30000,17000,5000,1066,3102335648,1017837207,1488384841,596113599.6,-25619.47972,390156.3509,104833661.4,0.222065065,5900,0,1969558248,4962141.924,1.00E-09,0,100,25,70%
-21.2785,140.5052,AUS.QLD.335949,21227,6000,17000,9000,1783,2548540101,1231364883,353953104.5,963222112.9,-37330.40763,630428.8729,123142389.7,0.260847731,7750,0,1969558248,11213285.59,1.84E-09,0,100,25,51%
-23.6356,150.375,AUS.QLD.333486,18434,34000,17000,5000,6606,2997896011,957074817.6,1499712528,541108665.5,-83225.93863,354155.6216,103956377.2,0.220206748,2650,0,1969558248,8194034.438,8.64E-10,0,100,25,73%
-21.54,140.5017,AUS.QLD.333596,21291,6000,17000,9000,1827,2545493789,1224793868,353953104.5,966746816.5,-38487.84386,632735.7914,123688424.4,0.262004375,7875,0,1969558248,11632516.31,2.05E-09,0,100,25,51%
-20.5711,139.472,AUS.QLD.333688,17053,31000,17000,5000,1058,3151690676,978745370.3,1601748220,571197085.9,-25015.73515,373848.4927,102690675.3,0.217525661,5925,0,1969558248,5055773.746,7.50E-10,0,100,25,71%
-19.7162,134.2817,AUS.NT.463918,18502,33000,17000,5000,1028,3389790907,1067819908,1868994679,452976319.9,-23259.82072,296473.0014,92932860.5,0.196856061,3950,0,1969558248,3002674.994,7.05E-10,0,100,25,77%
-21.5127,134.1564,AUS.NT.597284,16134,32000,17000,5000,1447,3310417720,926578114.6,1909939633,473899972.9,-35416.21292,310167.5323,93708543.46,0.19849916,4425,0,1969558248,5150419.151,1.00E-09,0,100,25,76%
-20.7434,139.4783,AUS.QLD.333400,21174,6000,17000,9000,1810,2524030127,1210935376,339835232,973259518.5,-38115.6361,636998.3549,124254928.5,0.263204379,8425,0,1969558248,12215550.89,1.93E-09,0,100,25,51%
-21.117,116.8296,AUS.WA.333387,18441,28000,17000,5000,1007,2978467647,1087108474,1293654749,597704423.4,-21911.89384,391197.5451,103525327.5,0.219293672,4575,0,1969558248,3625966.163,8.64E-10,0,100,25,70%
-20.7571,117.7045,AUS.WA.333525,19058,29000,17000,5000,1006,3048222772,1141539391,1312402115,594281265.9,-21989.18556,388957.0885,104147617.9,0.220611845,4375,0,1969558248,3467154.582,8.41E-10,0,100,25,70%
-17.3472,128.0235,AUS.WA.333595,22024,6000,17000,10000,1958,2474781985,1202786637,252568524.3,1019426823,-37240.67928,667214.8556,129404934.8,0.274113437,6000,0,1969558248,8879746.406,1.72E-09,0,100,25,48%
-20.8684,116.8655,AUS.WA.335166,18082,28000,17000,5000,1006,2963021191,1074432074,1293654749,594934367.6,-21983.99711,389384.5436,103029303,0.218242963,4725,0,1969558248,3707937.064,8.87E-10,0,100,25,70%
-21.2035,119.2383,AUS.WA.335341,19662,26000,17000,5000,1000,3060740791,1147527978,1296783160,616429654.1,-21527.46254,403453.2086,103587943.4,0.219426309,4050,0,1969558248,3208454.355,7.73E-10,0,100,25,69%
-27.3105,120.5528,AUS.WA.335342,16497,33000,17000,5000,1009,3341458113,938639930.1,1946292734,456525448.6,-22790.57083,298795.9061,93029353.36,0.197060458,3550,0,1969558248,2765784.257,7.28E-10,0,100,25,77%
-20.7759,140.0445,AUS.QLD.334400,22849,6000,17000,9000,1765,2622728505,1312965815,343672102.8,966090588,-36812.23549,632306.2898,124236309.6,0.263164939,8000,0,1969558248,11225732.49,1.94E-09,0,100,25,51%
-20.7216,139.4782,AUS.QLD.334462,16550,31000,17000,5000,5315,3116902914,939034957.7,1601748220,576119736.2,-91008.10077,377070.3674,103012091.7,0.218206505,5075,0,1969558248,15858670.52,1.09E-09,0,100,25,71%
-21.0446,139.9062,AUS.QLD.334660,16840,31000,17000,5000,6171,3151472965,957937020.9,1626458328,567077615.3,-90818.69491,371152.2992,102408617.1,0.216928188,5075,0,1969558248,16049113.47,1.21E-09,0,100,25,71%
-19.6961,139.366,AUS.QLD.333779,22604,6000,17000,9000,1819,2564534297,1262186412,325987821.1,976360063.8,-38078.07853,639027.6617,125584573.5,0.266020914,8100,0,1969558248,11901323.8,1.96E-09,0,100,25,50%
-22.0939,140.5736,AUS.QLD.333785,15625,33000,17000,5000,1017,3193979025,908132530.4,1737842602,548003893.4,-23169.48035,358668.5482,102046755.6,0.216161671,5650,0,1969558248,4425664.086,6.48E-10,0,100,25,72%
-20.7216,139.4782,AUS.QLD.333873,16550,31000,17000,5000,5315,3116902914,939034957.7,1601748220,576119736.2,-91008.10077,377070.3674,103012091.7,0.218206505,5075,0,1969558248,15858670.52,1.09E-09,0,100,25,71%
-32.2205,147.448,AUS.NSW.467218,18633,31000,17000,5000,7093,3019957044,930787957.6,1455484149,633684937.1,-87360.9851,414746.7913,110842590.7,0.234793546,4350,0,1969558248,12773356.5,1.18E-09,0,100,25,68%
-29.3469,151.5477,AUS.NSW.467228,23640,9000,17000,5000,2580,2512035572,1139165996,392493121.8,980376454.2,-59729.30829,641656.3893,129480950.2,0.274274457,6125,0,1969558248,13000640.37,1.83E-09,0,100,25,50%
