FID,SAMPLE_GEOMETRY,DEPOSIT_LATITUDE,DEPOSIT_LONGITUDE,DEPOSIT_UID,ALL_COMMODITIES,CU_PPM
CriticalMineralDepositsGeochemistry.ga.2187.1458126.wholerock,POINT (-19.699556 134.240928),-19.7033,134.2407,AUS.NT.334173,"Au, Bi, Cu",1120
CriticalMineralDepositsGeochemistry.ga.1877.1458190.wholerock,POINT (-19.425658 134.065428),-19.4354,134.0661,AUS.NT.334279,"Cu (Au, Bi)",31
CriticalMineralDepositsGeochemistry.ga.2968.1457921.wholerock,POINT (-19.69745 134.298168),-19.7115,134.2901,AUS.NT.334637,"Au, Bi, Ag, Cu",42
CriticalMineralDepositsGeochemistry.ga.3467.1635978.wholerock,POINT (-22.650622 136.268135),-22.6513,136.268,AUS.NT.334762,"Cu, Ag (Au, Pb, Zn)",743
CriticalMineralDepositsGeochemistry.ga.2831.1455877.wholerock,POINT (-13.502587 131.712403),-13.4996,131.713,AUS.NT.334824,"Sn, Cu",
CriticalMineralDepositsGeochemistry.ga.3082.1459300.wholerock,POINT (-19.440252 134.037258),-19.4387,134.0281,AUS.NT.334931,"Cu, Au (Bi)",3
CriticalMineralDepositsGeochemistry.ga.3901.1459402.wholerock,POINT (-19.469252 133.934009),-19.486,133.9023,AUS.NT.335010,"Au, Se, Bi, Cu",7
CriticalMineralDepositsGeochemistry.ga.51.7372193.wholerock,POINT (-12.97745 131.112683),-12.9681,131.1124,AUS.NT.335011,"Pb, Cu, Sb, Ag, Cd, Zn",
CriticalMineralDepositsGeochemistry.ga.2172.1453363.wholerock,POINT (-19.558157 134.063729),-19.5535,134.0588,AUS.NT.335952,"Au, Bi, Cu",1855
CriticalMineralDepositsGeochemistry.ga.453.7372977.wholerock,POINT (-12.990879 131.002687),-12.9939,130.9975,AUS.NT.336105,"Pb, Co, Ag, Ni, Zn, Cu",
CriticalMineralDepositsGeochemistry.ga.1237.1458090.wholerock,POINT (-19.65792 134.209668),-19.6671,134.22,AUS.NT.336129,"Au, Bi, Cu",240
CriticalMineralDepositsGeochemistry.ga.1326.1636161.wholerock,POINT (-22.68584 136.239199),-22.6868,136.2415,AUS.NT.336208,"Cu (Au, Ag, Zn, Pb)",15551
CriticalMineralDepositsGeochemistry.ga.2990.1458402.wholerock,POINT (-19.71273 134.281228),-19.7162,134.2817,AUS.NT.463918,"Ag, Bi, Au, Cu",25
CriticalMineralDepositsGeochemistry.ga.2055.1565883.wholerock,POINT (-21.513922 134.152795),-21.5127,134.1564,AUS.NT.597284,"Cu, Zn (Pb, Ag, Co, Au)",48
CriticalMineralDepositsGeochemistry.ga.59.7372147.4acid,POINT (-20.724184 139.475383),-20.7434,139.4783,AUS.QLD.333400,Cu,2030
CriticalMineralDepositsGeochemistry.ga.457.7372630.4acid,POINT (-23.63 150.37),-23.6356,150.375,AUS.QLD.333486,"Au, Cu (Ag, Bi)",640
