Latitude,Longitude,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total Load Served (kWh),Total CO2 emissions (tonne),System Cost ($),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Deposit_ID,Configuration_Index
-32.0637,146.3085,15394.4456,23000,19000.0,62000.0,9000,2655808950.137194,786297525.585252,1187220373.280811,682291051.271131,-82385.73457390949,1969558247.65,446559.4930569552,550192984.648006,131876293.61566125,0.2793484200350382,27000,0.0,116375208.53441311,3.637978807091713e-10,0.0,100.0,25,DEP_10,10
-33.4574,148.9957,21828.31549,23000,19000.0,74000.0,9000,2462986845.9558463,997104333.010555,538578000.2053305,927304512.7399607,-65072.26276928042,1969558247.65,606920.8035883043,680683897.0078214,163153787.79081514,0.34560231860113144,29750,0.0,145328943.46254253,9.094947017729282e-10,0.0,100.0,25,DEP_11,11
-35.0613,149.5717,26169.2496,20000,19000.0,77000.0,9000,2858096751.277727,1179264741.117542,939793818.3290863,739038191.8310989,-74507.70201213297,1969558247.65,483700.4965534542,597758102.482663,143277223.14485148,0.30349856532340924,20150,0.0,93467939.3846527,1.5916157281026244e-10,0.0,100.0,25,DEP_12,12
-29.5,152.4897,31982.07477,1000,19000.0,58000.0,9000,2544611929.8242292,1319112836.6339426,2781829.088300931,1222717264.101986,-95594.97440246982,1969558247.65,800268.4493547498,705122014.1297624,169011383.9414619,0.3580102365447107,15800,0.0,84426541.7470266,3.865352482534945e-10,0.0,100.0,25,DEP_13,13
-34.1848,147.3854,16054.55248,23000,19000.0,64000.0,9000,2563433404.6420236,780004141.7633657,1013405260.731057,770024002.1476005,-64591.94742368917,1969558247.65,503980.7094056045,590819110.3909469,141614009.35620356,0.29997544428852974,28650,0.0,118293496.23188828,5.911715561524034e-10,0.0,100.0,25,DEP_14,14
-32.2205,147.448,15706.28512,23000,19000.0,63000.0,9000,2622928082.576359,784588298.9298203,1110362753.4274683,727977030.21907,-82174.39387487629,1969558247.65,476460.9662783813,573056583.9190543,137356492.04550597,0.2909569110752642,26475,0.0,109315708.13381791,3.865352482534945e-10,0.0,100.0,25,DEP_15,15
-29.3469,151.5477,25678.69151,20000,19000.0,86000.0,9000,2844449905.0778947,1237406248.868866,832541699.4329355,774501956.7760934,-94008.95730747454,1969558247.65,506911.53070995305,629970976.2636614,150998358.30920652,0.3198539454292952,20050,0.0,96665622.6989671,1.8189894035458565e-10,0.0,100.0,25,DEP_16,16
-31.5303,146.6862,19475.91285,22000,19000.0,76000.0,9000,2766615087.011073,1009427203.6619645,1045395527.5277789,711792355.8213294,-91746.25393511425,1969558247.65,465868.09688506,583597343.9922322,139883017.11785305,0.29630875080163677,24875,0.0,122170210.33277503,2.7284841053187847e-10,0.0,100.0,25,DEP_17,17
-17.1813,137.7848,20225.04191,21000,19000.0,68000.0,9000,2673869608.0148754,1105641687.239017,877806037.4059093,690421883.3699491,-44965.54384387235,1969558247.65,451881.12266563164,560879659.3084848,134437793.09788746,0.28477434469262564,26350,0.0,129054967.7286377,1.5916157281026244e-10,0.0,100.0,25,DEP_18,18
-19.6271,134.15,16409.19624,20000,19000.0,74000.0,9000,2749074239.615075,946967976.8009256,1212871536.6597278,589234726.1544219,-37972.96235979202,1969558247.65,385654.1282680691,518153526.05299324,124196724.5065315,0.26308108768615185,29275,0.0,127145701.7674952,2.7284841053187847e-10,0.0,100.0,25,DEP_19,19
