Iteration,Objective Value,Parameters,Time (seconds)
242,0.274308337,"[29824, 30, 27480, 6309, 25785]",2825.060685
243,0.291977066,"[38574, 21, 16230, 7559, 29035]",2836.456291
244,0.255538032,"[21074, 38, 23730, 5059, 22535]",2847.598513
245,0.260434094,"[25449, 25, 29355, 5684, 20910]",2859.032198
246,0.286480357,"[42949, 43, 21855, 8184, 27410]",2871.309969
247,0.286784525,"[34199, 16, 25605, 6934, 24160]",2883.785723
248,0.235091333,"[16699, 34, 18105, 9434, 17660]",2896.430764
249,0.280781401,"[14512, 23, 24668, 8496, 26598]",2908.6521
250,0.252320367,"[32012, 40, 17168, 5996, 20098]",2920.93291
251,0.295294105,"[40762, 14, 28418, 9746, 23348]",2933.06754
252,0.277302924,"[23262, 32, 20918, 7246, 29848]",2945.246255
253,0.283532549,"[18887, 19, 15293, 6621, 28223]",2957.415911
254,0.263571013,"[36387, 36, 22793, 9121, 21723]",2969.720049
255,0.244787246,"[27637, 27, 19043, 5371, 18473]",2981.944074
256,0.271129545,"[10137, 45, 26543, 7871, 24973]",2994.617508
257,0.290161285,"[10103, 19, 29312, 9956, 22954]",3007.044725
258,0.278191123,"[27603, 36, 21812, 7456, 29454]",3019.666353
259,0.313750456,"[36353, 10, 25562, 8706, 26204]",3031.67295
260,0.243252491,"[18853, 28, 18062, 6206, 19704]",3043.976788
261,0.257992418,"[23228, 14, 19937, 5581, 18079]",3056.172353
262,0.279014302,"[40728, 32, 27437, 8081, 24579]",3068.496773
263,0.280621266,"[31978, 23, 16187, 6831, 27829]",3080.837069
264,0.25267309,"[14478, 41, 23687, 9331, 21329]",3093.644698
265,0.310658467,"[16665, 12, 15249, 7769, 28642]",3105.644089
266,0.263041244,"[34165, 30, 22749, 5269, 22142]",3117.888099
267,0.26318399,"[42915, 21, 18999, 9019, 18892]",3130.484298
268,0.268309266,"[25415, 38, 26499, 6519, 25392]",3143.297863
269,0.264813041,"[21040, 25, 24624, 7144, 23767]",3155.568743
270,0.252367401,"[38540, 43, 17124, 9644, 17267]",3168.460807
271,0.27084373,"[29790, 17, 28374, 5894, 20517]",3180.649911
272,0.271109259,"[12290, 34, 20874, 8394, 27017]",3192.599198
273,0.265447475,"[13384, 18, 23218, 6675, 20110]",3203.830688
