Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),Specific Carbon Emission (kg/kWh),Specific Carbon Emission Reduction (%),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%),Specific Carbon Emission_DG (kg/kWh)
-19.4387,134.0281,AUS.NT.334931,17750,32000,17000,5000,6735,3316907586,1018105649,1842365671,456436265.9,-40239.09929,298737.5361,0.152,78%,92130730.77,0.195156941,7575,9.09E-10,1969558248,13323438.59,0,4.62E-17,100,25,86%,
-41.2021,146.8156,AUS.TAS.334630,21395,30000,17000,6000,1291,3262756553,839863955,1891636252,531256345.7,-11736.10743,347707.2783,0.177,75%,101093201.6,0.214141794,18675,1.18E-09,1969558248,16162383.54,0,6.00E-17,100,25,84%,
-41.4269,145.5264,AUS.TAS.335457,30768,28000,17000,5000,1233,2543533105,1013455125,630540399.4,899537580.6,-14110.35514,588747.3465,0.299,57%,143496821.2,0.303963731,26325,1.66E-09,1969558248,18488480.08,0,8.43E-17,100,25,65%,
-42.061,145.5855,AUS.TAS.335962,50000,31000,17000,5000,10000,3434943916,1560414444,1198187321,676342150.4,-42956.70172,442665.9374,0.225,68%,131884401.7,0.279365595,12275,1.52E-09,1969558248,15882093.79,0,7.73E-17,100,25,80%,
-17.295,128.1877,AUS.WA.335365,22762,6000,17000,10000,1791,2523875614,1262504496,252568524.3,1008802593,-17009.46448,660261.2974,0.335,52%,128484137.4,0.272162948,48100,2.01E-09,1969558248,39119591.02,0,1.02E-16,100,25,60%,
-20.9825,116.8648,AUS.WA.335472,23723,9000,17000,5000,2293,2704635988,1400359178,446915386.6,857361423.4,-25006.75284,561143.0516,0.285,59%,116738056.9,0.247281682,23775,1.89E-09,1969558248,21819810.95,0,9.58E-17,100,25,68%,
-27.4555,120.5775,AUS.WA.335559,21616,7000,17000,9000,2158,2581959298,1228586341,454917465.1,898455491.4,-23338.6845,588039.1191,0.299,57%,119843586,0.253860004,38700,2.52E-09,1969558248,39743744.61,0,1.28E-16,100,25,65%,
-18.5074,144.0999,AUS.QLD.334081,18080,29000,17000,5000,5857,2996911567,993776224.9,1377481374,625653967.4,-44798.5357,409490.5217,0.208,70%,106998696.6,0.226651175,12175,1.42E-09,1969558248,15959209.41,0,7.19E-17,100,25,79%,
-20.8766,139.9862,AUS.QLD.334094,21105,6000,17000,8000,1725,2528214122,1210761796,343672102.8,973780223.9,-16892.22556,637339.1566,0.324,54%,123999468.7,0.262663248,40750,2.35E-09,1969558248,30842801.39,0,1.19E-16,100,25,61%,
-17.1187,144.4047,AUS.QLD.334276,23891,9000,17000,5000,2720,2646736088,1297401678,401822687.2,947511723.7,-30033.59675,620146.4231,0.315,55%,125324048.9,0.265469055,23875,1.88E-09,1969558248,21107183.43,0,9.52E-17,100,25,64%,
