Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),Specific Carbon Emission (kg/kWh),Specific Carbon Emission Reduction (%),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%),Specific Carbon Emission_DG (kg/kWh)
-21.6784,140.4744,AUS.QLD.335458,16850,34000,17000,5000,5952,3299311226,968911934.9,1802026808,528372483,-59314.08441,345819.7901,0.176,75%,100999184.7,0.213942642,7025,1.59E-10,1969558248,11935483.16,0,8.08E-18,100,25,84%,
-20.625,140.6885,AUS.QLD.335574,22554,6000,17000,9000,1818,2608965960,1300246722,339794379.7,968924857.6,-29720.24811,634161.3193,0.322,54%,124081017.2,0.262835989,3250,1.36E-10,1969558248,3989242.994,0,6.93E-18,100,25,63%,
-20.7406,139.9112,AUS.QLD.335769,17042,31000,17000,5000,4856,3158215076,975507640.9,1603187603,579519831.8,-60125.47292,379295.7299,0.193,73%,103747730.2,0.219764779,6825,2.27E-11,1969558248,12584190.03,0,1.15E-18,100,25,82%,
-29.72,135.5749,AUS.SA.333675,27061,9000,17000,5000,2722,2903757906,1497575171,566158186.5,840024548.5,-38868.69315,549796.067,0.279,60%,117369028.4,0.248618245,3450,2.27E-11,1969558248,3984829.225,0,1.15E-18,100,25,71%,
-31.1051,137.1544,AUS.SA.335512,21543,9000,17000,5000,2240,2599042345,1182737307,554515937.2,861789101.2,-37429.42088,564040.9667,0.286,59%,117061412.8,0.247966635,5025,0,1969558248,5336068.961,0,0,100,25,67%,
-30.4374,136.8893,AUS.SA.335647,22176,9000,17000,5000,2917,2627788423,1222598864,537457863.4,867731695.2,-40631.7093,567930.3945,0.288,59%,117597848,0.249102944,4875,2.27E-11,1969558248,6399790.368,0,1.15E-18,100,25,67%,
-31.9665,141.465,AUS.NSW.335554,23146,9000,17000,5000,2340,2657170023,1248967004,553321245.2,854881774.3,-37841.38255,559520.1213,0.284,59%,117332455.8,0.248540774,4450,4.55E-11,1969558248,4962493.801,0,2.31E-18,100,25,68%,
-32.0637,146.3085,AUS.NSW.335658,16530,34000,17000,5000,7019,3097665743,844297575.3,1680933383,572434784.3,-58831.8961,374658.5663,0.190,73%,106175676.5,0.224907803,8050,4.55E-11,1969558248,13650076.63,0,2.31E-18,100,25,82%,
-33.4574,148.9957,AUS.NSW.335835,28855,9000,17000,5000,2861,2604283150,1318077463,224427864.1,1061777823,-45869.47925,694933.585,0.353,50%,138682265.9,0.293765246,3700,4.55E-11,1969558248,5735022.333,0,2.31E-18,100,25,59%,
-23.6356,150.375,AUS.QLD.333486,18434,34000,17000,5000,6606,2997896011,957074817.6,1499712528,541108665.5,-58496.87355,354155.6216,0.180,74%,103956377.2,0.220206748,7450,9.09E-11,1969558248,11114974.78,0,4.62E-18,100,25,82%,
-21.54,140.5017,AUS.QLD.333596,21291,6000,17000,9000,1827,2545493789,1224793868,353953104.5,966746816.5,-29823.15994,632735.7914,0.321,54%,123688424.4,0.262004375,3725,1.82E-10,1969558248,4625599.047,0,9.24E-18,100,25,62%,
-20.5711,139.472,AUS.QLD.333688,20900,8000,17000,5000,2448,2567723424,1199539954,450755247.8,917428222.6,-36481.1492,600456.7717,0.305,57%,120057227.2,0.254312552,3100,2.27E-11,1969558248,4730449.31,0,1.15E-18,100,25,64%,
-17.295,128.1877,AUS.WA.335365,22877,8000,17000,5000,2586,2565899105,1268882975,335138594.1,961877535.7,-39579.42919,629548.8471,0.320,54%,124771280.1,0.264298146,3250,0,1969558248,5299456.289,0,0,100,25,63%,
-20.9825,116.8648,AUS.WA.335472,18558,28000,17000,5000,1000,2985708089,1095472681,1293654749,596580658.7,-14886.32066,390462.0411,0.198,72%,103410844.1,0.219051166,5375,6.82E-11,1969558248,3618328.711,0,3.46E-18,100,25,80%,
-27.4555,120.5775,AUS.WA.335559,20602,9000,17000,5000,1623,2588398952,1170954010,583355641.8,834089299.8,-25252.30094,545911.4467,0.277,60%,114336300.5,0.242194135,4375,0,1969558248,4127193.894,0,0,100,25,68%,
-19.7162,134.2817,AUS.NT.463918,31343,10000,17000,5000,2463,3203135413,1808917224,632841678.4,761376510.5,-38591.83149,498320.9261,0.253,64%,113494125.4,0.240410189,4050,2.27E-11,1969558248,3798003.389,0,1.15E-18,100,25,76%,
-21.5127,134.1564,AUS.NT.597284,24363,9000,17000,5000,2363,2818430255,1399167867,595775346.7,823487041.2,-37092.60973,538972.2685,0.274,61%,114957077.5,0.243509103,2975,0,1969558248,3256110.598,0,0,100,25,71%,
-20.7434,139.4783,AUS.QLD.333400,20824,8000,17000,5000,2386,2561493675,1190919062,450755247.8,919819364.9,-36837.06813,602021.7743,0.306,56%,120259149.1,0.254740275,3250,6.82E-11,1969558248,4979731.399,0,3.46E-18,100,25,64%,
-28.6691,116.3796,AUS.WA.336142,23027,6000,17000,9000,1835,2628485173,1308816524,396708357.1,922960292.6,-30063.9211,604077.5115,0.307,56%,121534152.1,0.257441064,3625,9.09E-11,1969558248,4449718.485,0,4.62E-18,100,25,65%,
-28.9634,121.766,AUS.WA.336197,31517,10000,17000,5000,2466,3201194616,1749371830,686123134,765699652.3,-38775.34636,501150.4224,0.254,64%,113905281.6,0.241281125,4150,0,1969558248,4525762.428,0,0,100,25,76%,
-27.2296,120.5417,AUS.WA.336234,16588,33000,17000,5000,1739,3292190718,936746728.9,1894927006,460516982.4,-24413.05239,301408.365,0.153,78%,93629969.45,0.19833272,6550,0,1969558248,7259294.883,0,0,100,25,86%,
-41.603,145.6999,AUS.TAS.333591,32756,15000,17000,6000,1319,2473571828,1069027266,360395194.3,1044149367,-21391.57611,683395.7607,0.347,51%,148065779.3,0.313641977,7000,1.36E-10,1969558248,6057177.086,0,6.93E-18,100,25,58%,
-41.477,145.385,AUS.TAS.333707,32691,28000,17000,5000,1000,2582119693,1047812923,630540399.4,903766371.5,-17380.64735,591515.0902,0.300,57%,145018632.2,0.307187324,7625,1.14E-10,1969558248,5284831.882,0,5.77E-18,100,25,65%,
-41.7723,145.5431,AUS.TAS.333876,50000,31000,17000,5000,10000,3395260268,1516460148,1198187321,680612798.5,-69175.06119,445461.0766,0.226,68%,132430204.7,0.280521748,6150,4.55E-11,1969558248,9345206.044,0,2.31E-18,100,25,80%,
-41.2021,146.8156,AUS.TAS.334630,21395,30000,17000,6000,1291,3262756553,839863955,1891636252,531256345.7,-17551.74507,347707.2783,0.177,75%,101093201.6,0.214141794,7300,4.55E-11,1969558248,6206296.835,0,2.31E-18,100,25,84%,
-41.4269,145.5264,AUS.TAS.335457,34784,11000,17000,5000,3022,2509850977,1145736223,269040132.1,1095074623,-53522.84675,716726.3405,0.364,48%,149564865,0.316817432,5575,6.82E-11,1969558248,8405128.978,0,3.46E-18,100,25,56%,
-42.061,145.5855,AUS.TAS.335962,27766,33000,17000,5000,1000,2848182298,866530580.1,1263699696,717952022.5,-14486.23748,469899.5987,0.239,66%,127073095.5,0.269173992,7850,1.59E-10,1969558248,4939628.196,0,8.08E-18,100,25,75%,
-18.5074,144.0999,AUS.QLD.334081,22797,9000,17000,5000,2095,2621043221,1253047072,466789454.3,901206695,-37781.83957,589839.7818,0.299,57%,121204378.2,0.256742517,3650,2.27E-11,1969558248,4498491.52,0,1.15E-18,100,25,66%,
-20.8766,139.9862,AUS.QLD.334094,21105,6000,17000,8000,1725,2528214122,1210761796,343672102.8,973780223.9,-26740.39485,637339.1566,0.324,54%,123999468.7,0.262663248,3525,2.27E-11,1969558248,4254598.295,0,1.15E-18,100,25,61%,
-17.1187,144.4047,AUS.QLD.334276,24269,6000,17000,9000,1784,2603157269,1317928905,270832585.4,1014395779,-30038.96465,663922.0371,0.337,52%,129636920.5,0.274604843,3750,1.36E-10,1969558248,4719993.233,0,6.93E-18,100,25,61%,
-21.7224,122.2109,AUS.WA.335840,21036,9000,17000,5000,2203,2558689936,1202665928,503360549.2,852663459.3,-36704.16258,558068.2341,0.283,60%,115925331.3,0.245560117,4200,0,1969558248,5136080.493,0,0,100,25,67%,
-17.7501,127.8329,AUS.WA.335844,21658,8000,17000,5000,2392,2515333489,1200324583,361823692.7,953185213.1,-38087.93785,623859.722,0.317,55%,123817862,0.262278558,3600,0,1969558248,5497698.589,0,0,100,25,62%,
-26.9179,118.6444,AUS.WA.336035,20664,9000,17000,5000,2391,2605517819,1195964141,597891484.5,811662193.2,-37069.53307,531232.9055,0.270,62%,112273188.7,0.237823926,4625,2.27E-11,1969558248,5889711.896,0,1.15E-18,100,25,69%,
-31.5161,145.8551,AUS.NSW.334374,18583,33000,17000,5000,6022,3191168853,959132469.2,1670155394,561880989.6,-58497.76784,367751.1077,0.187,73%,104904402.3,0.222214912,7575,1.82E-10,1969558248,13099037.21,0,9.24E-18,100,25,82%,
-31.5212,145.8578,AUS.NSW.334832,18583,33000,17000,5000,6022,3191168853,959132469.2,1670155394,561880989.6,-58497.76784,367751.1077,0.187,73%,104904402.3,0.222214912,7575,1.82E-10,1969558248,13099037.21,0,9.24E-18,100,25,82%,
-31.2586,146.8719,AUS.NSW.334834,18431,33000,17000,5000,6553,3065184715,944282809,1511632623,609269283.9,-61067.01555,398766.7463,0.202,71%,109978397.8,0.23296296,7875,1.82E-10,1969558248,14233756.14,0,9.24E-18,100,25,80%,
-20.8771,117.8091,AUS.WA.333611,18516,29000,17000,5000,1000,3013440116,1102801154,1312402115,598236847.7,-15333.81122,391546.0168,0.199,72%,104346203.8,0.221032502,5150,2.27E-11,1969558248,3537863.488,0,1.15E-18,100,25,80%,
-27.599,120.5777,AUS.WA.333803,21041,9000,17000,5000,2225,2606974952,1190671398,583355641.8,832947912.5,-36857.94848,545164.4088,0.277,61%,114432916,0.242398792,4325,0,1969558248,5285989.843,0,0,100,25,68%,
-28.7772,116.9626,AUS.WA.333890,31305,10000,17000,5000,2504,3209886114,1783524840,653271706.8,773089567,-38941.72081,505987.1216,0.257,63%,114083625.5,0.241658904,4350,0,1969558248,4365280.421,0,0,100,25,76%,
-32.2205,147.448,AUS.NSW.467218,18633,31000,17000,5000,7093,3019957044,930787957.6,1455484149,633684937.1,-61932.86545,414746.7913,0.211,70%,110842590.7,0.234793546,7925,6.82E-11,1969558248,14834992.21,0,3.46E-18,100,25,79%,
-29.3469,151.5477,AUS.NSW.467228,19978,31000,17000,6000,1000,2879511500,962701857.7,1235356151,681453491.6,-16244.54681,446011.3102,0.226,68%,116310177.4,0.246375322,7125,4.55E-11,1969558248,4854528.27,0,2.31E-18,100,25,76%,
-31.5303,146.6862,AUS.NSW.529220,18448,31000,17000,6000,5544,3015452206,956151286.3,1435701755,623599164.7,-67440.83104,408145.6533,0.207,70%,109911974.9,0.232822258,8250,2.27E-11,1969558248,17795426.96,0,1.15E-18,100,25,79%,
-21.6549,121.5709,AUS.WA.335579,20918,9000,17000,5000,1895,2558983675,1196185642,511574070.1,851223963,-32740.29146,557126.0838,0.283,60%,115642052.8,0.24496006,4175,0,1969558248,4795844.07,0,0,100,25,67%,
-22.1991,122.3141,AUS.WA.335631,19065,32000,17000,5000,1024,3190790383,1092849571,1573757009,524183803.8,-17733.3211,343078.2996,0.174,75%,99821158.55,0.211447275,5025,9.09E-11,1969558248,3655748.647,0,4.62E-18,100,25,84%,
-29.1785,116.9774,AUS.WA.335652,16609,30000,17000,6000,3424,3260575728,941091626.3,1813930081,505554021,-43096.09311,330885.1067,0.168,76%,95715507.43,0.202750434,7925,0,1969558248,13409568.69,0,0,100,25,84%,
-20.4447,140.7058,AUS.QLD.334994,21131,7000,17000,8000,1873,2555879941,1209814768,395754396.6,950310776.2,-28144.29695,621978.4031,0.316,55%,122938975.7,0.260416847,3475,6.82E-11,1969558248,4793009.072,0,3.46E-18,100,25,63%,
-20.2545,140.1558,AUS.QLD.335006,21478,8000,17000,5000,2387,2591367827,1224334661,449367133.5,917666032.8,-35978.06882,600612.4185,0.305,57%,120198946.8,0.254612751,3150,2.27E-11,1969558248,4784249.508,0,1.15E-18,100,25,65%,
-20.5636,139.9752,AUS.QLD.335227,17392,31000,17000,5000,3883,3173744286,992140828.8,1603187603,578415853.9,-60069.95828,378573.1764,0.192,73%,103715165.8,0.219695799,6725,1.14E-10,1969558248,11755763.6,0,5.77E-18,100,25,82%,
-21.545,140.497,AUS.QLD.335859,16651,34000,17000,5000,6796,3290693026,958300194.1,1802026808,530366023.9,-59023.31345,347124.5626,0.176,75%,101151343.4,0.214264954,6775,9.09E-11,1969558248,11613327.28,0,4.62E-18,100,25,84%,
-19.474,139.3889,AUS.QLD.335937,22740,9000,17000,5000,2545,2664820645,1289017066,486704593.4,889098985.1,-37796.20445,581915.2858,0.295,58%,119490093.2,0.253111214,3425,0,1969558248,5012245.284,0,0,100,25,67%,
-21.2785,140.5052,AUS.QLD.335949,21227,6000,17000,9000,1783,2548540101,1231364883,353953104.5,963222112.9,-29390.08301,630428.8729,0.320,54%,123142389.7,0.260847731,3275,6.82E-11,1969558248,4174491.66,0,3.46E-18,100,25,62%,
-31.1778,121.6783,AUS.WA.652961,20903,10000,17000,7000,1008,2607371465,1120906284,682156445.3,804308735.6,-14735.93154,526420.0674,0.267,62%,113591360.3,0.240616157,6425,4.55E-11,1969558248,4426053.118,0,2.31E-18,100,25,69%,
-28.302,120.492,AUS.WA.652962,21329,9000,17000,5000,2340,2629946873,1210397391,597773083.6,821776398.7,-37392.33213,537852.6529,0.273,61%,113372014.8,0.240151526,4750,0,1969558248,5910250.068,0,0,100,25,69%,
-31.2864,122.838,AUS.WA.652969,17102,33000,17000,5000,1056,3513763622,910952669,2135734678,467076275.2,-16334.9982,305701.4221,0.155,78%,94372381.37,0.199905342,5525,4.55E-11,1969558248,4031465.187,0,2.31E-18,100,25,87%,
-20.8684,116.8655,AUS.WA.335166,18082,28000,17000,5000,1006,2963021191,1074432074,1293654749,594934367.6,-14862.60787,389384.5436,0.198,72%,103029303,0.218242963,5800,9.09E-11,1969558248,3889128.482,0,4.62E-18,100,25,80%,
-21.2035,119.2383,AUS.WA.335341,19662,26000,17000,5000,1000,3060740791,1147527978,1296783160,616429654.1,-14651.50251,403453.2086,0.205,71%,103587943.4,0.219426309,4400,1.36E-10,1969558248,3047719.979,0,6.93E-18,100,25,80%,
-27.3105,120.5528,AUS.WA.335342,20560,9000,17000,5000,2559,2589122591,1169813591,583355641.8,835953358.2,-37878.09311,547131.4729,0.278,60%,114486399.2,0.242512083,4850,0,1969558248,6100746.775,0,0,100,25,68%,
-41.8501,145.5144,AUS.TAS.333976,28218,33000,17000,5000,1000,2858695544,879133066.7,1263699696,715862782,-14322.20428,468532.1908,0.238,66%,126934369,0.268880134,7775,1.14E-10,1969558248,5280851,0,5.77E-18,100,25,75%,
-41.5746,145.7221,AUS.TAS.334055,31178,28000,17000,5000,1000,2530385936,986376302.6,630540399.4,913469234.4,-16912.25822,597865.6139,0.304,57%,145345536.8,0.307879794,7425,1.71E-10,1969558248,5021259.091,0,8.66E-18,100,25,64%,
