UID,DEPOSIT_LATITUDE_WGS84,DEPOSIT_LONGITUDE_WGS84,Architecture/PV (kW),Architecture/Wind 1MW,Architecture/Gen (kW),Architecture/Battery 1MWh (#),Architecture/Converter (kW),Cost/NPC ($),Cost/LCOE ($/kWh),Cost/Operating cost ($/yr),Cost/CAPEX ($),System/Ren Frac (%),Total Load Served (kWh),Ren Frac (%),System/Total Fuel (L/yr),Project Economics/IRR (%),Project Economics/Simple Payback (yr),Gen/Hours,Gen/Production (kWh/yr),Gen/Fuel (L/yr),Annual Carbon Emission (tonne/yr),Total Carbon Emission (tonne),Specific Carbon Emission (kg/kWh),Specific Carbon Emission Reduction (%),Gen/O&M Cost ($/yr),Gen/Fuel Cost ($/yr),PV/CAPEX,PV/Energy Production (kWh/yr),Wind 1MW/Capital Cost ($),Wind 1MW/Production (kWh/yr),Wind 1MW/O&M Cost ($),Battery 1MWh/Auxiliary Load Percent (%),Battery 1MWh/Autonomy (hr),Battery 1MWh/Annual Throughput (kWh/yr),Battery 1MWh/Nominal Capacity (kWh),Battery 1MWh/Accessible Capacity (kWh),Converter/Rectifier Mean Output (kW),Converter/Inverter Mean Output (kW),Specific Carbon Emission_DG (kg/kWh)
AUS.QLD.335574.csv,-20.625,140.6885,18893.88557,20,19000,76,14432.37826,275753300,0.2707552,9354914,154817500,85.11181,1969558248,85.11%,3272001,18.24574,5.258709,1809,11729260,3272001,8566.098618,214152.4655,0.109,84%,1031130,3926402,37787770,35414190,50000000,68072580,800000,0,6.760502,17402910,76000.02,60800.01,723.2579,2802.989,
AUS.QLD.335769.csv,-20.7406,139.9112,16955.49774,21,19000,75,14673.90481,272715000,0.267772,9274934,152813200,85.14493,1969558248,85.14%,3265566,18.53797,5.198436,1808,11703170,3265566,8549.251788,213731.2947,0.109,84%,1030560,3918679,33911000,31130750,52500000,73440980,840000,0,6.671548,16873220,75000.02,60000.01,839.5695,2633.822,
AUS.QLD.335859.csv,-21.545,140.497,16184.22219,21,19000,74,14762.45676,267832700,0.2629781,9068677,150597200,85.55855,1969558248,85.56%,3175294,18.99713,5.107682,1760,11377320,3175294,8312.919692,207822.9923,0.106,85%,1003200,3810353,32368440,29794430,52500000,75520830,840000,0,6.582594,16642290,74000.02,59200.01,873.1042,2566.136,
AUS.QLD.335937.csv,-19.474,139.3889,18019.06674,21,19000,64,13827.76063,287757600,0.2825419,10889260,146986500,80.28309,1969558248,80.28%,4301803,18.04766,5.246748,2283,15533450,4301803,11262.12025,281553.0064,0.143,80%,1301310,5162163,36038130,33411810,52500000,66572660,840000,0,5.693054,15196800,64000.01,51200.01,657.8749,2515.043,
AUS.QLD.335949.csv,-21.2785,140.5052,16913.67058,21,19000,71,14048.57113,270379100,0.2654784,9331814,149741900,84.85747,1969558248,84.86%,3329597,18.97014,5.114499,1846,11929640,3329597,8716.884946,217922.1237,0.111,84%,1052220,3995517,33827340,31070500,52500000,74350840,840000,0,6.315732,16331090,71000.02,56800.01,816.621,2564.989,
AUS.QLD.336037.csv,-20.9549,140.9799,18909.4428,20,19000,76,14451.51111,275445200,0.2704527,9328234,154854300,85.1636,1969558248,85.16%,3259864,18.25558,5.256717,1800,11688460,3259864,8534.323952,213358.0988,0.108,85%,1026000,3911836,37818880,35538920,50000000,68072580,800000,0,6.760502,17398340,76000.02,60800.01,721.0029,2807.331,
AUS.QLD.336263.csv,-19.1596,139.4342,18131.02178,21,19000,64,14176.1118,287849000,0.2826317,10870930,147314900,80.31649,1969558248,80.32%,4293085,18.01143,5.254725,2274,15507130,4293085,11239.29653,280982.4133,0.143,80%,1296180,5151701,36262040,33538960,52500000,66572660,840000,0,5.693054,15199430,64000.01,51200.01,655.6524,2517.261,
AUS.QLD.443072.csv,-24.017,148.917,23173.48546,20,19000,83,14678.3943,321236100,0.3154136,11826370,168350500,79.97518,1969558248,79.98%,4385800,14.80796,5.989656,2379,15776020,4385800,11482.0244,287050.61,0.146,79%,1356030,5262960,46346970,41006180,50000000,46680000,800000,0,7.38318,19842660,83000.02,66400.02,511.0889,3468.118,
AUS.QLD.455378.csv,-20.3054,140.1508,18886.2625,21,19000,75,14684.03125,280324700,0.2752437,9564634,156677700,84.60863,1969558248,84.61%,3378365,17.86091,5.344707,1855,12125680,3378365,8844.55957,221113.9893,0.112,84%,1057350,4054039,37772520,35323490,52500000,69220320,840000,0,6.671548,17265290,75000.02,60000.01,725.6597,2793.541,
AUS.QLD.558218.csv,-22.0815,140.5842,15849.22853,22,19000,71,15162.76068,269508400,0.2646235,9209903,150447300,85.12831,1969558248,85.13%,3268935,18.91792,5.125853,1809,11716270,3268935,8558.07183,213951.7958,0.109,84%,1031130,3922721,31698460,28084810,55000000,78960570,880000,0,6.315732,16147890,71000.02,56800.01,918.5019,2462.76,
