Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),Specific Carbon Emission (kg/kWh),Specific Carbon Emission Reduction (%),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%),Specific Carbon Emission_DG (kg/kWh)
-19.7162,134.2817,AUS.NT.463918,31343,10000,17000,5000,2463,3203135413,1808917224,632841678.4,761376510.5,-53794.47297,498320.9261,0.253,64%,113494125.4,0.240410189,7050,1.99E-09,1969558248,12309776.86,0,1.01E-16,100,25,76%,
-21.5127,134.1564,AUS.NT.597284,24363,9000,17000,5000,2363,2818430255,1399167867,595775346.7,823487041.2,-53523.86619,538972.2685,0.274,61%,114957077.5,0.243509103,7300,1.51E-09,1969558248,13107680.42,0,7.68E-17,100,25,71%,
-20.7434,139.4783,AUS.QLD.333400,20824,8000,17000,5000,2386,2561493675,1190919062,450755247.8,919819364.9,-58254.50403,602021.7743,0.306,56%,120259149.1,0.254740275,9700,1.83E-09,1969558248,16452179.82,0,9.29E-17,100,25,64%,
-31.5161,145.8551,AUS.NSW.334374,18583,33000,17000,5000,6022,3191168853,959132469.2,1670155394,561880989.6,-84822.37579,367751.1077,0.187,73%,104904402.3,0.222214912,4700,1.14E-09,1969558248,10776744.05,0,5.77E-17,100,25,82%,
-31.5212,145.8578,AUS.NSW.334832,18583,33000,17000,5000,6022,3191168853,959132469.2,1670155394,561880989.6,-84822.37579,367751.1077,0.187,73%,104904402.3,0.222214912,4700,1.14E-09,1969558248,10776744.05,0,5.77E-17,100,25,82%,
-31.2586,146.8719,AUS.NSW.334834,22876,9000,17000,5000,2373,2559159309,1172013915,453452996.5,933692397.5,-56060.56075,611101.6742,0.310,56%,124389402.5,0.26348923,9225,2.57E-09,1969558248,14158673.41,0,1.30E-16,100,25,64%,
-41.2021,146.8156,AUS.TAS.334630,20211,30000,17000,5000,4344,3220537693,793386088.4,1891636252,535515352.4,-76489.27928,350494.7981,0.178,75%,100750392,0.213415634,4550,1.21E-09,1969558248,10510998.83,0,6.12E-17,100,25,83%,
-41.4269,145.5264,AUS.TAS.335457,34784,11000,17000,5000,3022,2509850977,1145736223,269040132.1,1095074623,-83808.70463,716726.3405,0.364,48%,149564865,0.316817432,11775,2.83E-09,1969558248,19808169.64,0,1.44E-16,100,25,56%,
-42.061,145.5855,AUS.TAS.335962,27766,33000,17000,5000,1000,2848182298,866530580.1,1263699696,717952022.5,-20912.56315,469899.5987,0.239,66%,127073095.5,0.269173992,9500,1.41E-09,1969558248,6674882.92,0,7.16E-17,100,25,75%,
-29.72,135.5749,AUS.SA.333675,27061,9000,17000,5000,2722,2903757906,1497575171,566158186.5,840024548.5,-55379.0897,549796.067,0.279,60%,117369028.4,0.248618245,6750,2.10E-09,1969558248,11361773.58,0,1.07E-16,100,25,71%,
-31.1051,137.1544,AUS.SA.335512,21543,9000,17000,5000,2240,2599042345,1182737307,554515937.2,861789101.2,-48261.72492,564040.9667,0.286,59%,117061412.8,0.247966635,6200,1.61E-09,1969558248,9352753.314,0,8.20E-17,100,25,67%,
-30.4374,136.8893,AUS.SA.335647,22176,9000,17000,5000,2917,2627788423,1222598864,537457863.4,867731695.2,-62499.98026,567930.3945,0.288,59%,117597848,0.249102944,6700,1.66E-09,1969558248,12370961.66,0,8.43E-17,100,25,67%,
-20.8771,117.8091,AUS.WA.333611,21634,8000,17000,5000,2574,2576428582,1288506084,392800204.8,895122293.2,-57534.02031,585857.5409,0.297,58%,118010399.1,0.249976835,8175,2.14E-09,1969558248,15055443.22,0,1.09E-16,100,25,65%,
-27.599,120.5777,AUS.WA.333803,21041,9000,17000,5000,2225,2606974952,1190671398,583355641.8,832947912.5,-48399.76076,545164.4088,0.277,61%,114432916,0.242398792,7725,2.42E-09,1969558248,11077390.5,0,1.23E-16,100,25,68%,
-28.7772,116.9626,AUS.WA.333890,31305,10000,17000,5000,2504,3209886114,1783524840,653271706.8,773089567,-54717.51602,505987.1216,0.257,63%,114083625.5,0.241658904,6125,1.35E-09,1969558248,10512615.31,0,6.87E-17,100,25,76%,
-21.545,140.497,AUS.QLD.335859,21043,8000,17000,5000,2386,2593088693,1211067378,469901990.9,912119324.3,-57876.97922,596982.0978,0.303,57%,119571952.1,0.253284612,9450,2.55E-09,1969558248,15696650.93,0,1.29E-16,100,25,65%,
-19.474,139.3889,AUS.QLD.335937,22740,9000,17000,5000,2545,2664820645,1289017066,486704593.4,889098985.1,-61910.95841,581915.2858,0.295,58%,119490093.2,0.253111214,9250,1.97E-09,1969558248,16938768.94,0,9.99E-17,100,25,67%,
-21.2785,140.5052,AUS.QLD.335949,20741,8000,17000,5000,2457,2582767312,1203172533,469901990.9,909692787.3,-60335.31956,595393.9293,0.302,57%,119053949.3,0.252187347,9375,2.52E-09,1969558248,16345192.23,0,1.28E-16,100,25,65%,
-41.603,145.6999,AUS.TAS.333591,32006,28000,17000,5000,1000,2573089198,1044550277,630540399.4,897998521.1,-22127.14089,587740.0321,0.298,57%,144073165.9,0.30518458,11700,1.07E-09,1969558248,8764447.809,0,5.43E-17,100,25,65%,
-41.477,145.385,AUS.TAS.333707,32691,28000,17000,5000,1000,2582119693,1047812923,630540399.4,903766371.5,-22155.10479,591515.0902,0.300,57%,145018632.2,0.307187324,11250,1.11E-09,1969558248,8140677.602,0,5.66E-17,100,25,65%,
-41.7723,145.5431,AUS.TAS.333876,50000,27000,17000,6000,1000,3288883396,1516460148,1059427069,712996178.5,-20940.77428,466655.9988,0.237,66%,133078192.6,0.281894356,8475,1.21E-09,1969558248,5916506.78,0,6.12E-17,100,25,78%,
-20.9549,140.9799,AUS.QLD.336037,20661,8000,17000,5000,2386,2573016571,1184013307,462323882.7,926679381.4,-57846.38324,606511.6551,0.308,56%,120496783.9,0.255243647,9275,2.02E-09,1969558248,15964182.42,0,1.03E-16,100,25,64%,
-19.1596,139.4342,AUS.QLD.336263,23945,9000,17000,5000,2372,2706504841,1343833773,470757297.7,891913770.1,-57023.86494,583757.5625,0.296,58%,120335907.3,0.254902869,9250,1.89E-09,1969558248,16033760.51,0,9.58E-17,100,25,67%,
-24.017,148.917,AUS.QLD.443072,23456,19000,17000,5000,1110,2671211566,1249000491,483960672.6,938250402.3,-25633.61827,614084.8883,0.312,56%,132373964.6,0.280402617,8425,2.11E-09,1969558248,6132479.926,0,1.07E-16,100,25,65%,
-20.1656,139.4582,AUS.QLD.334842,23598,9000,17000,5000,2406,2728127003,1347945514,493686891.1,886494597.9,-57483.88407,580210.7143,0.295,58%,119507475,0.253148033,9000,2.17E-09,1969558248,15924753.79,0,1.10E-16,100,25,68%,
-18.609,143.993,AUS.QLD.334950,22938,6000,17000,9000,1840,2579280277,1275410531,315501145,988368600.4,-38606.04843,646887.249,0.328,53%,126828204.8,0.26865525,8350,1.22E-09,1969558248,11121562.55,0,6.18E-17,100,25,62%,
-20.7187,140.6487,AUS.QLD.334977,22587,6000,17000,9000,1778,2606287632,1293917288,339794379.7,972575964.1,-36640.97039,636550.9685,0.323,54%,124580712.6,0.263894475,8925,1.41E-09,1969558248,10996256.3,0,7.16E-17,100,25,63%,
-19.486,133.9023,AUS.NT.335010,30668,10000,17000,5000,2503,3149493832,1754361015,628177422.2,766955394.3,-56185.08378,501972.3056,0.255,64%,113905454.8,0.241281492,7000,1.43E-09,1969558248,12966837.86,0,7.27E-17,100,25,76%,
-12.9681,131.1124,AUS.NT.335011,25785,9000,17000,5000,2623,2580674077,1304048299,264098340.4,1012527438,-62795.68096,662699.208,0.336,52%,131710926,0.278998128,8425,1.77E-09,1969558248,16208980.51,0,9.00E-17,100,25,61%,
-19.5535,134.0588,AUS.NT.335952,29806,10000,17000,5000,2474,3099965114,1704895018,628177422.2,766892673.7,-55641.81526,501931.255,0.255,64%,113455419.1,0.240328198,6975,1.55E-09,1969558248,12743084.49,0,7.85E-17,100,25,75%,
-17.1813,137.7848,AUS.NT.333325,24507,9000,17000,5000,2766,2623818108,1339722121,393975034.6,890120952.1,-63543.12394,582584.1631,0.296,58%,121084279.5,0.256488117,7275,2.09E-09,1969558248,13867910.71,0,1.06E-16,100,25,66%,
-19.6271,134.15,AUS.NT.333391,21074,10000,17000,6000,1912,2635260244,1216170017,632841678.4,786248548.2,-45391.89097,514599.6748,0.261,63%,111593742.2,0.236384681,7925,1.99E-09,1969558248,10564463.44,0,1.01E-16,100,25,70%,
-16.436,136.0985,AUS.NT.333587,24643,9000,17000,5000,2831,2642551927,1342620944,378028764.3,921902218.4,-65900.49085,603385.002,0.306,56%,123578415.1,0.261771347,7525,2.13E-09,1969558248,15167887.85,0,1.08E-16,100,25,65%,
-12.9939,130.9975,AUS.NT.336105,25998,5000,17000,11000,1802,2545987466,1315969640,147833082.3,1082184744,-35472.66799,708289.9148,0.360,49%,135877660.1,0.287824359,8975,1.24E-09,1969558248,10795724.3,0,6.29E-17,100,25,57%,
-19.6671,134.22,AUS.NT.336129,19793,10000,17000,6000,1201,2564144779,1138509611,632841678.4,792793489.6,-25200.34112,518883.339,0.263,62%,111857398.1,0.236943173,8200,1.76E-09,1969558248,6503715.261,0,8.95E-17,100,25,69%,
-22.6868,136.2415,AUS.NT.336208,23830,9000,17000,5000,2364,2790019630,1374992398,559045775.2,855981457.6,-51044.10116,560239.864,0.284,59%,117315894.4,0.248505693,7450,2.14E-09,1969558248,11890147.62,0,1.09E-16,100,25,69%,
-17.295,128.1877,AUS.WA.335365,22877,8000,17000,5000,2586,2565899105,1268882975,335138594.1,961877535.7,-53167.76318,629548.8471,0.320,54%,124771280.1,0.264298146,6500,1.98E-09,1969558248,10828755.59,0,1.00E-16,100,25,63%,
-20.9825,116.8648,AUS.WA.335472,18558,28000,17000,5000,1000,2985708089,1095472681,1293654749,596580658.7,-21771.4644,390462.0411,0.198,72%,103410844.1,0.219051166,5175,8.64E-10,1969558248,3624240.205,0,4.39E-17,100,25,80%,
-27.4555,120.5775,AUS.WA.335559,20602,9000,17000,5000,1623,2588398952,1170954010,583355641.8,834089299.8,-38371.73011,545911.4467,0.277,60%,114336300.5,0.242194135,8150,2.54E-09,1969558248,8416242.092,0,1.29E-16,100,25,68%,
-17.1727,137.752,AUS.NT.333631,24259,9000,17000,5000,2514,2607911892,1321892884,393975034.6,892043973.1,-56667.77598,583842.7804,0.296,58%,121030746.1,0.256374719,7325,2.23E-09,1969558248,12566221.81,0,1.13E-16,100,25,66%,
-19.4448,133.8237,AUS.NT.333784,31305,10000,17000,5000,2505,3180530830,1786637566,628177422.2,765715842.3,-55947.42896,501161.0188,0.254,64%,114166310.7,0.241834053,6975,1.43E-09,1969558248,12926023.8,0,7.27E-17,100,25,76%,
-19.6751,134.2835,AUS.NT.334073,20091,10000,17000,7000,1894,2580029255,1156606047,632841678.4,790581529.7,-41147.928,517435.6112,0.263,63%,111947001.5,0.237132976,8025,1.90E-09,1969558248,10406616.54,0,9.64E-17,100,25,69%,
-33.9763,137.689,AUS.SA.336892,22334,7000,17000,8000,1659,2517160277,1080415040,550108640.9,886636596.3,-33114.06607,580303.6522,0.295,58%,121189789.9,0.256711615,8925,1.31E-09,1969558248,10075543.63,0,6.64E-17,100,25,65%,
-34.0407,137.6207,AUS.SA.337525,22316,7000,17000,8000,1804,2519681939,1082903995,550108640.9,886669303.5,-37658.72359,580325.0592,0.295,58%,121279209.5,0.256901029,8850,1.40E-09,1969558248,10772872.15,0,7.10E-17,100,25,65%,
-34.5375,137.8722,AUS.SA.529299,21695,13000,17000,5000,2724,2645338808,995881643.8,929502640.2,719954524.5,-61147.88699,471210.2363,0.239,66%,107642027.3,0.228013917,6200,1.59E-09,1969558248,10005870.25,0,8.08E-17,100,25,73%,
-35.0613,149.5717,AUS.NSW.335841,25604,10000,17000,5000,2503,2545775530,1153793021,485226280.4,906756227.9,-60412.24062,593471.9512,0.301,57%,125007801,0.264799159,7950,2.16E-09,1969558248,12775280.05,0,1.10E-16,100,25,64%,
-29.5,152.4897,AUS.NSW.335959,29459,7000,17000,5000,2726,2455932738,1215047977,19185871.47,1221698890,-62525.96128,799601.9232,0.406,42%,150616776,0.319045655,7375,7.79E-10,1969558248,14592657.85,0,3.95E-17,100,25,50%,
-34.1848,147.3854,AUS.NSW.455899,26675,10000,17000,5000,2124,2685790618,1295990641,464390744.8,925409232.3,-51000.64299,605680.3426,0.308,56%,126346032,0.267633882,8600,2.51E-09,1969558248,11667405.02,0,1.28E-16,100,25,66%,
-28.4868,122.2385,AUS.WA.334147,16567,34000,17000,5000,5876,3487023669,927422719.3,2141045639,418555311,-79578.0735,273944.4511,0.139,80%,89775678.29,0.190168325,3400,7.96E-10,1969558248,7363211.817,0,4.04E-17,100,25,88%,
-28.409,121.1478,AUS.WA.334181,22394,7000,17000,9000,1905,2629623335,1267953359,477795177,883874798.1,-37293.70208,578496.0553,0.294,58%,119111479.9,0.252309212,8475,2.21E-09,1969558248,10038435.24,0,1.12E-16,100,25,66%,
-30.9106,121.7167,AUS.WA.334445,24052,9000,17000,5000,2476,2738747088,1298027621,614865521.5,825853945.4,-53651.14774,540521.4073,0.274,61%,115314393.9,0.244265993,6750,1.92E-09,1969558248,10361418.89,0,9.76E-17,100,25,70%,
-21.117,116.8296,AUS.WA.333387,23759,9000,17000,5000,2501,2705490413,1400606143,446915386.6,857968883.4,-56225.06585,561540.6342,0.285,59%,116846314.4,0.247511,7850,1.93E-09,1969558248,13861045.14,0,9.81E-17,100,25,68%,
-20.7571,117.7045,AUS.WA.333525,24105,9000,17000,5000,2406,2743091115,1443843630,441428931.3,857818553.7,-53144.26371,561442.2434,0.285,59%,116699520,0.247200051,7225,1.66E-09,1969558248,13348309.07,0,8.43E-17,100,25,69%,
-17.3472,128.0235,AUS.WA.333595,23377,9000,17000,5000,2467,2597155493,1276677023,376296852.3,944181618.2,-52710.58657,617966.8691,0.314,55%,124594482,0.263923642,6750,2.24E-09,1969558248,10602455.75,0,1.14E-16,100,25,64%,
-41.7824,145.434,AUS.TAS.336113,26488,33000,17000,5000,1000,2790549828,798848559.4,1263699696,728001572.7,-20623.5225,476477.0293,0.242,65%,127435535.8,0.269941736,10575,1.41E-09,1969558248,7642544.756,0,7.16E-17,100,25,74%,
-37.6078,142.6124,AUS.VIC.467811,28385,10000,17000,5000,2645,2497363114,1144748203,348841789.1,1003773122,-71836.52025,656969.5082,0.334,52%,136283859.6,0.288684795,11150,2.39E-09,1969558248,17842847.38,0,1.21E-16,100,25,60%,
-20.9168,116.8861,AUS.WA.333298,23584,9000,17000,5000,2478,2699783157,1397721834,446915386.6,855145935.9,-55695.40163,559693.015,0.284,59%,116465073.7,0.246703433,7625,1.69E-09,1969558248,13836828.48,0,8.60E-17,100,25,68%,
-21.7224,122.2109,AUS.WA.335840,21036,9000,17000,5000,2203,2558689936,1202665928,503360549.2,852663459.3,-48641.28816,558068.2341,0.283,60%,115925331.3,0.245560117,7350,2.24E-09,1969558248,10961574.79,0,1.14E-16,100,25,67%,
-17.7501,127.8329,AUS.WA.335844,21658,8000,17000,5000,2392,2515333489,1200324583,361823692.7,953185213.1,-50482.29108,623859.722,0.317,55%,123817862,0.262278558,7000,2.49E-09,1969558248,10472282.04,0,1.26E-16,100,25,62%,
-26.9179,118.6444,AUS.WA.336035,20664,9000,17000,5000,2391,2605517819,1195964141,597891484.5,811662193.2,-52161.86918,531232.9055,0.270,62%,112273188.7,0.237823926,7450,1.72E-09,1969558248,12226590.92,0,8.72E-17,100,25,69%,
-21.6549,121.5709,AUS.WA.335579,20918,9000,17000,5000,1895,2558983675,1196185642,511574070.1,851223963,-44695.56394,557126.0838,0.283,60%,115642052.8,0.24496006,7100,2.02E-09,1969558248,9495865.824,0,1.03E-16,100,25,67%,
-22.1991,122.3141,AUS.WA.335631,19065,32000,17000,5000,1024,3190790383,1092849571,1573757009,524183803.8,-21952.87493,343078.2996,0.174,75%,99821158.55,0.211447275,4250,6.59E-10,1969558248,3074082.099,0,3.35E-17,100,25,84%,
-29.1785,116.9774,AUS.WA.335652,30739,10000,17000,5000,2682,3171879357,1741715445,653271706.8,776892205.6,-59369.50258,508475.9486,0.258,63%,114251818.6,0.242015181,6275,1.38E-09,1969558248,11311543.85,0,6.98E-17,100,25,76%,
-19.6961,139.366,AUS.QLD.333779,23564,9000,17000,5000,2591,2693361984,1315791659,486704593.4,890865731.5,-63243.74676,583071.6212,0.296,58%,120222814.3,0.254663308,9075,1.92E-09,1969558248,17099222.26,0,9.76E-17,100,25,67%,
-22.0939,140.5736,AUS.QLD.333785,20164,8000,17000,5000,2574,2551602196,1171939524,465054279.7,914608392.5,-63363.67361,598611.1929,0.304,57%,119238175.4,0.252577586,9475,2.42E-09,1969558248,17106967.91,0,1.23E-16,100,25,64%,
