Iteration,Objective Value,Parameters,Time (seconds)
366,0.262854382,"[39771, 28, 15542, 7632, 21888]",3829.20347
367,0.25927221,"[31021, 20, 26792, 6382, 18638]",3839.539017
368,0.261824126,"[13521, 37, 19292, 8882, 25138]",3850.020439
369,0.267793361,"[12427, 21, 24448, 6226, 21481]",3860.32825
370,0.27207542,"[29927, 38, 16948, 8726, 27981]",3870.941504
371,0.305149159,"[38677, 12, 28198, 7476, 24731]",3881.30492
372,0.239782194,"[21177, 30, 20698, 9976, 18231]",3891.842094
373,0.257729062,"[25552, 16, 15073, 9351, 19856]",3902.190338
374,0.282329053,"[43052, 34, 22573, 6851, 26356]",3912.669191
375,0.288157234,"[34302, 25, 18823, 8101, 29606]",3922.974014
376,0.259618367,"[16802, 43, 26323, 5601, 23106]",3933.60096
377,0.302972112,"[14614, 14, 19761, 6538, 27169]",3943.804417
378,0.259893821,"[32114, 32, 27261, 9038, 20669]",3954.297068
379,0.252912438,"[40864, 23, 16011, 5288, 17419]",3964.58816
380,0.260979537,"[23364, 41, 23511, 7788, 23919]",3975.233042
381,0.271915728,"[18989, 27, 29136, 8413, 25544]",3985.663938
382,0.259361146,"[36489, 45, 21636, 5913, 19044]",3996.424362
383,0.270326284,"[27739, 19, 25386, 9663, 22294]",4006.873599
384,0.278845594,"[10239, 36, 17886, 7163, 28794]",4017.425828
385,0.297463347,"[10171, 19, 20259, 8560, 26077]",4027.7699
386,0.253735641,"[27671, 36, 27759, 6060, 19577]",4038.239193
387,0.26410984,"[36421, 27, 16509, 9810, 22827]",4048.65595
388,0.275752251,"[18921, 45, 24009, 7310, 29327]",4059.287907
389,0.284975145,"[23296, 23, 29634, 6685, 27702]",4069.673831
390,0.267466557,"[40796, 41, 22134, 9185, 21202]",4080.198961
391,0.266568642,"[32046, 14, 25884, 5435, 17952]",4090.475936
392,0.259190124,"[14546, 32, 18384, 7935, 24452]",4101.003613
393,0.248013049,"[16733, 25, 24946, 8872, 18765]",4111.432251
394,0.269630004,"[34233, 43, 17446, 6372, 25265]",4122.148538
395,0.309781407,"[42983, 17, 28696, 7622, 28515]",4132.425147
396,0.254057514,"[25483, 34, 21196, 5122, 22015]",4142.924906
397,0.270603557,"[21108, 12, 15571, 5747, 20390]",4153.127682
398,0.281568637,"[38608, 30, 23071, 8247, 26890]",4163.549194
