Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%)
-29.5,152.4897,AUS.NSW.335959,10434,1000,17000,5000,1000,1845843415,430356337,2781829.088,1412705249,-639.2006491,924615.5853,165019205.4,0.34955376,5650,0,1969558248,3401922.204,128457026.6,0,93.47787623,25,28%
-34.1848,147.3854,AUS.NSW.455899,26675,10000,17000,5000,2124,2685790618,1295990641,464390744.8,925409232.3,-38525.91303,605680.3426,126346032,0.267633882,4000,0,1969558248,4388316.981,9.09E-11,0,100,25,53%
-20.7759,140.0445,AUS.QLD.334400,22849,6000,17000,9000,1765,2622728505,1312965815,343672102.8,966090588,-28544.01009,632306.2898,124236309.6,0.263164939,2700,0,1969558248,3212329.594,2.27E-11,0,100,25,51%
-20.7216,139.4782,AUS.QLD.334462,23508,9000,17000,5000,2405,2727723255,1333824732,506984286.9,886914236.9,-37278.16089,580485.368,119553629.5,0.2532458,3225,0,1969558248,4342928.488,0,0,100,25,55%
-21.0446,139.9062,AUS.QLD.334660,16840,31000,17000,5000,6171,3151472965,957937020.9,1626458328,567077615.3,-60385.18167,371152.2992,102408617.1,0.216928188,6575,0,1969558248,11448733.03,2.27E-11,0,100,25,71%
-28.6691,116.3796,AUS.WA.336142,23027,6000,17000,9000,1835,2628485173,1308816524,396708357.1,922960292.6,-30063.9211,604077.5115,121534152.1,0.257441064,3575,0,1969558248,4449718.485,9.09E-11,0,100,25,53%
-28.9634,121.766,AUS.WA.336197,31517,10000,17000,5000,2466,3201194616,1749371830,686123134,765699652.3,-38775.34636,501150.4224,113905281.6,0.241281125,4150,0,1969558248,4525762.428,0,0,100,25,61%
-27.2296,120.5417,AUS.WA.336234,16588,33000,17000,5000,1739,3292190718,936746728.9,1894927006,460516982.4,-24413.05239,301408.365,93629969.45,0.19833272,6550,0,1969558248,7259294.883,0,0,100,25,77%
-20.8771,117.8091,AUS.WA.333611,18516,29000,17000,5000,1000,3013440116,1102801154,1312402115,598236847.7,-15333.81122,391546.0168,104346203.8,0.221032502,5125,0,1969558248,3537863.488,2.27E-11,0,100,25,70%
-27.599,120.5777,AUS.WA.333803,21041,9000,17000,5000,2225,2606974952,1190671398,583355641.8,832947912.5,-36857.94848,545164.4088,114432916,0.242398792,4325,0,1969558248,5285989.843,0,0,100,25,58%
-28.7772,116.9626,AUS.WA.333890,31305,10000,17000,5000,2504,3209886114,1783524840,653271706.8,773089567,-38941.72081,505987.1216,114083625.5,0.241658904,4350,0,1969558248,4365280.421,0,0,100,25,61%
-19.6961,139.366,AUS.QLD.333779,22604,6000,17000,9000,1819,2564534297,1262186412,325987821.1,976360063.8,-29996.40803,639027.6617,125584573.5,0.266020914,3350,0,1969558248,4321436.326,1.59E-10,0,100,25,50%
-22.0939,140.5736,AUS.QLD.333785,15625,33000,17000,5000,1017,3193979025,908132530.4,1737842602,548003893.4,-15188.29236,358668.5482,102046755.6,0.216161671,5900,0,1969558248,3876056.326,2.27E-11,0,100,25,72%
-20.7216,139.4782,AUS.QLD.333873,23508,9000,17000,5000,2405,2727723255,1333824732,506984286.9,886914236.9,-37278.16089,580485.368,119553629.5,0.2532458,3225,0,1969558248,4342928.488,0,0,100,25,55%
-17.295,128.1877,AUS.WA.335365,22762,6000,17000,10000,1791,2523875614,1262504496,252568524.3,1008802593,-26554.08807,660261.2974,128484137.4,0.272162948,3525,0,1969558248,4472568.846,4.55E-11,0,100,25,49%
-20.9825,116.8648,AUS.WA.335472,18558,28000,17000,5000,1000,2985708089,1095472681,1293654749,596580658.7,-14886.32066,390462.0411,103410844.1,0.219051166,5325,0,1969558248,3618328.711,6.82E-11,0,100,25,70%
-27.4555,120.5775,AUS.WA.335559,20602,9000,17000,5000,1623,2588398952,1170954010,583355641.8,834089299.8,-25252.30094,545911.4467,114336300.5,0.242194135,4375,0,1969558248,4127193.894,0,0,100,25,58%
-25.5406,119.3281,AUS.WA.519582,21875,7000,17000,9000,1826,2590177894,1252837551,438932815.4,898407526.9,-30024.66646,588007.7264,119831428.2,0.25383425,3275,0,1969558248,4341704.411,1.14E-10,0,100,25,54%
-20.7886,122.1966,AUS.WA.557598,20365,9000,17000,5000,2961,2540274827,1178572606,518352618.2,843349603,-42536.94009,551972.3151,114874368.6,0.243333904,5200,0,1969558248,7632067.627,0,0,100,25,57%
-31.8199,123.1924,AUS.WA.561110,21153,10000,17000,6000,1773,2605414367,1102044460,694343832.8,809026073.5,-29858.74798,529507.5651,114100032.8,0.241693659,6750,0,1969558248,7210059.838,0,0,100,25,59%
-21.7224,122.2109,AUS.WA.335840,21036,9000,17000,5000,2203,2558689936,1202665928,503360549.2,852663459.3,-36704.16258,558068.2341,115925331.3,0.245560117,4200,0,1969558248,5136080.493,0,0,100,25,57%
-17.7501,127.8329,AUS.WA.335844,20289,31000,17000,5000,1002,3015469043,1124452525,1279024704,611991814.9,-15434.41416,400548.6428,109343518.6,0.23161812,5400,0,1969558248,3545680.159,2.27E-11,0,100,25,69%
-26.9179,118.6444,AUS.WA.336035,20664,9000,17000,5000,2391,2605517819,1195964141,597891484.5,811662193.2,-37069.53307,531232.9055,112273188.7,0.237823926,4600,0,1969558248,5889711.896,2.27E-11,0,100,25,59%
-31.1785,121.6775,AUS.WA.334537,20903,10000,17000,7000,1008,2607371465,1120906284,682156445.3,804308735.6,-14735.93154,526420.0674,113591360.3,0.240616157,6400,0,1969558248,4426053.118,4.55E-11,0,100,25,59%
-21.147,119.2055,AUS.WA.334568,24425,9000,17000,5000,2323,2755872674,1424974137,479471462.5,851427074.7,-36394.5866,557259.0204,116535085.5,0.246851736,2900,0,1969558248,3121283.76,2.27E-11,0,100,25,57%
