Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%)
-41.5746,145.7221,AUS.TAS.334055,31178,28000,17000,5000,1000,2530385936,986376302.6,630540399.4,913469234.4,-11328.89661,597865.6139,145345536.8,0.307879794,28575,0,1969558248,18363130.73,1.18E-09,0,100,25,54%
-41.2245,148.0131,AUS.TAS.334077,50000,28000,17000,5000,9023,4242894046,1826383947,1948972660,467537439.1,-38927.67912,306003.2539,106127170.2,0.224805054,6400,0,1969558248,11632303.63,1.05E-09,0,100,25,76%
-41.603,145.6999,AUS.TAS.333591,32756,15000,17000,6000,1319,2473571828,1069027266,360395194.3,1044149367,-14853.25273,683395.7607,148065779.3,0.313641977,31150,0,1969558248,24590696.42,2.23E-09,0,100,25,47%
-41.477,145.385,AUS.TAS.333707,31287,28000,17000,5000,1000,2543060564,1002812006,630540399.4,909708158.8,-11285.0339,595403.9899,144991935.3,0.307130773,28625,0,1969558248,18533760.92,1.23E-09,0,100,25,54%
-41.7723,145.5431,AUS.TAS.333876,50000,27000,17000,6000,1000,3288883396,1516460148,1059427069,712996178.5,-9347.519155,466655.9988,133078192.6,0.281894356,24850,0,1969558248,17702967.27,1.14E-09,0,100,25,64%
-20.8771,117.8091,AUS.WA.333611,21634,8000,17000,5000,2574,2576428582,1288506084,392800204.8,895122293.2,-27244.6426,585857.5409,118010399.1,0.249976835,22275,0,1969558248,22067923.65,2.34E-09,0,100,25,55%
-27.599,120.5777,AUS.WA.333803,24867,8000,17000,10000,1855,2781298848,1407176630,519240164.8,854882053.3,-18812.51379,559520.3039,118680797.5,0.251396914,39850,0,1969558248,43231248.36,1.92E-09,0,100,25,57%
-28.7772,116.9626,AUS.WA.333890,31305,10000,17000,5000,2504,3209886114,1783524840,653271706.8,773089567,-27250.71361,505987.1216,114083625.5,0.241658904,19475,0,1969558248,22616457.58,1.52E-09,0,100,25,61%
-29.72,135.5749,AUS.SA.333675,17883,31000,17000,5000,7098,3333215666,989659885.2,1815379185,528176595.9,-39401.28244,345691.582,98683506.3,0.209037431,9400,0,1969558248,15907848.91,1.00E-09,0,100,25,73%
-31.1051,137.1544,AUS.SA.335512,23013,6000,17000,9000,1669,2586907175,1263441604,370730833.2,952734737.1,-16630.61352,623564.8854,124067605.8,0.262807581,43300,0,1969558248,35220589.06,1.32E-09,0,100,25,52%
-30.4374,136.8893,AUS.SA.335647,22527,6000,17000,9000,1696,2561508603,1241949862,359224935.7,960333805.3,-16967.77187,628538.4755,124371287.2,0.263450857,43500,0,1969558248,35183950.09,1.75E-09,0,100,25,51%
-17.295,128.1877,AUS.WA.335365,22762,6000,17000,10000,1791,2523875614,1262504496,252568524.3,1008802593,-17009.46448,660261.2974,128484137.4,0.272162948,46475,0,1969558248,39119591.02,2.01E-09,0,100,25,49%
-20.9825,116.8648,AUS.WA.335472,23723,9000,17000,5000,2293,2704635988,1400359178,446915386.6,857361423.4,-25006.75284,561143.0516,116738056.9,0.247281682,22225,0,1969558248,21819810.95,1.89E-09,0,100,25,56%
-27.4555,120.5775,AUS.WA.335559,21616,7000,17000,9000,2158,2581959298,1228586341,454917465.1,898455491.4,-23338.6845,588039.1191,119843586,0.253860004,36850,0,1969558248,39743744.61,2.52E-09,0,100,25,54%
-19.7162,134.2817,AUS.NT.463918,18502,33000,17000,5000,1028,3389790907,1067819908,1868994679,452976319.9,-8692.605765,296473.0014,92932860.5,0.196856061,18825,0,1969558248,13180875.76,7.73E-10,0,100,25,77%
-21.5127,134.1564,AUS.NT.597284,16134,32000,17000,5000,1447,3310417720,926578114.6,1909939633,473899972.9,-14073.18129,310167.5323,93708543.46,0.19849916,14550,0,1969558248,14474603.32,8.87E-10,0,100,25,76%
-20.7434,139.4783,AUS.QLD.333400,21174,6000,17000,9000,1810,2524030127,1210935376,339835232,973259518.5,-17566.92744,636998.3549,124254928.5,0.263204379,40300,0,1969558248,34628368.11,2.27E-09,0,100,25,51%
-32.2205,147.448,AUS.NSW.467218,18633,31000,17000,5000,7093,3019957044,930787957.6,1455484149,633684937.1,-43955.26856,414746.7913,110842590.7,0.234793546,10100,0,1969558248,16039768.24,1.21E-09,0,100,25,68%
-29.3469,151.5477,AUS.NSW.467228,19978,31000,17000,6000,1000,2879511500,962701857.7,1235356151,681453491.6,-9971.422108,446011.3102,116310177.4,0.246375322,25475,0,1969558248,18063134.9,5.00E-10,0,100,25,65%
-31.5303,146.6862,AUS.NSW.529220,24085,9000,17000,5000,2560,2628181528,1248312504,453452996.5,926416028.1,-28004.46487,606339.2904,124060128.4,0.262791741,22900,0,1969558248,20840434.59,2.96E-09,0,100,25,53%
-31.1637,121.0857,AUS.WA.335026,22555,6000,17000,8000,1704,2552877333,1203398013,410107162.3,939372158.1,-17363.38396,614819.0775,123010503,0.260568361,39025,0,1969558248,35168445.36,2.10E-09,0,100,25,52%
-23.432,117.9,AUS.WA.335066,25865,9000,17000,5000,2577,2803752110,1465402519,438884908.4,899464683.2,-28485.11737,588699.6351,121359493.4,0.257071091,20200,0,1969558248,20552786.39,1.80E-09,0,100,25,54%
-32.7509,116.3581,AUS.WA.335111,17040,31000,17000,6000,2720,3363222329,850615362,2041420576,471186390.7,-23978.18745,308391.4927,93109118.36,0.197229422,9625,0,1969558248,16108532.41,9.78E-10,0,100,25,76%
-21.117,116.8296,AUS.WA.333387,18441,28000,17000,5000,1007,2978467647,1087108474,1293654749,597704423.4,-9026.446194,391197.5451,103525327.5,0.219293672,23100,0,1969558248,15082255.77,8.87E-10,0,100,25,70%
-20.7571,117.7045,AUS.WA.333525,24105,9000,17000,5000,2406,2743091115,1443843630,441428931.3,857818553.7,-25996.99613,561442.2434,116699520,0.247200051,21200,0,1969558248,21625294.28,1.93E-09,0,100,25,56%
