Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years)
-17.295,128.1877,AUS.WA.335365,22877,8000,17000,5000,2586,2565899104.5990515,1268882974.7597227,335138594.1222624,961877535.7170664,-39579.42918686422,629548.8471268199,124771280.07449868,0.2642981463836136,3250,0.0,1969558247.65,5299456.289030319,0.0,0.0,100.0,25
-20.9825,116.8648,AUS.WA.335472,18558,28000,17000,5000,1000,2985708089.1266875,1095472681.004913,1293654749.4677837,596580658.6539906,-14886.320656187376,390462.04108903685,103410844.06056364,0.2190511661405803,5375,6.821210263296962e-11,1969558247.65,3618328.710507441,0.0,3.4633198949235254e-18,100.0,25
-27.4555,120.5775,AUS.WA.335559,21616,7000,17000,9000,2158,2581959297.618142,1228586341.0687556,454917465.1495247,898455491.3998619,-32685.287330062667,588039.1191212096,119843585.9577027,0.2538600037258082,4075,9.094947017729281e-11,1969558247.65,6105427.5673935,0.0,4.6177598598980356e-18,100.0,25
-19.4354,134.0661,AUS.NT.334279,21055,10000,17000,6000,1265,2638191880.718417,1219169257.8948748,632841678.3753064,786180944.4482358,-21064.012583702057,514555.4281413703,111681861.15443224,0.2365713397359095,5150,1.1368683772161603e-10,1969558247.65,3966550.328704997,0.0,5.772199824872543e-18,100.0,25
-19.7115,134.2901,AUS.NT.334637,31343,10000,17000,5000,2463,3203135412.6293488,1808917223.728165,632841678.3753064,761376510.525877,-38591.83149185207,498320.9261391865,113494125.43396996,0.2404101886244764,4050,2.273736754432321e-11,1969558247.65,3798003.389428276,0.0,1.1544399649745089e-18,100.0,25
-28.302,120.492,AUS.WA.652962,16661,34000,17000,5000,1014,3447889353.196532,945494802.76211,2050045586.810612,452348963.6238104,-12918.091702342275,296062.3966917839,93301555.509748,0.1976370536649983,6400,9.094947017729281e-11,1969558247.65,4201784.820523521,0.0,4.6177598598980356e-18,100.0,25
-31.2864,122.838,AUS.WA.652969,28644,10000,17000,5000,2528,3013949074.1020045,1525744247.3293378,700895979.9509658,787308846.8217009,-39269.95852280977,515293.6402448033,114593596.14474829,0.242739154638837,4475,0.0,1969558247.65,4843173.385947982,0.0,0.0,100.0,25
-35.5901,149.4372,AUS.NSW.335061,27322,17000,17000,5000,1000,2530675095.830304,1178712737.1669111,343479029.4782462,1008483329.1851468,-17474.510721096885,660052.3389516785,139766844.03823757,0.2960626658886366,5375,1.5916157281026244e-10,1969558247.65,3667514.816698704,0.0,8.081079754821559e-18,100.0,25
-31.3956,146.7216,AUS.NSW.335156,23973,7000,17000,5000,1816,2568105467.853799,1229868743.4134414,353723981.9160916,984512742.5242656,-30088.491265109828,644363.5899821318,127447864.15447363,0.2699678502654275,2675,0.0,1969558247.65,3045887.77599037,0.0,0.0,100.0,25
-32.9135,148.0498,AUS.NSW.335362,25737,9000,17000,5000,2774,2611754498.849944,1244018595.2991507,417705386.39043,950030517.1603632,-43662.57464442121,621794.9734814577,127681382.86217456,0.2704625038552151,4750,0.0,1969558247.65,6424340.224459696,0.0,0.0,100.0,25
