Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years)
-28.7772,116.9626,AUS.WA.333890,23014,6000,17000,9000,1859,2628142160.771748,1311167384.2456524,393945151.0614618,923029625.4646336,0.0,604122.8898666026,121428899.73029992,0.2572181121886186,2200,2.8535396268125623e-09,1969558247.65,0.0,0.0,1.4488221560430083e-16,100.0,25
-33.9763,137.689,AUS.SA.336892,22334,7000,17000,8000,1659,2517160276.8874617,1080415039.696977,550108640.9338238,886636596.2566612,0.0,580303.6522499848,121189789.90182686,0.2567116151453102,1800,2.1259438653942198e-09,1969558247.65,0.0,0.0,1.0794013672511655e-16,100.0,25
-34.0407,137.6207,AUS.SA.337525,22316,7000,17000,8000,1804,2519681939.231584,1082903994.766416,550108640.9338238,886669303.5313438,0.0,580325.0591612646,121279209.54052906,0.2569010292856891,1700,2.05773176276125e-09,1969558247.65,0.0,0.0,1.0447681683019304e-16,100.0,25
-34.5375,137.8722,AUS.SA.529299,17752,30000,17000,5000,1761,3370307417.9978843,814884008.2187893,2039778053.1998904,515645356.5792045,0.0,337489.8858810893,96627687.55682345,0.2046826697245938,1150,1.3415046851150692e-09,1969558247.65,0.0,0.0,6.811195793349601e-17,100.0,25
-17.295,128.1877,AUS.WA.335365,22762,6000,17000,10000,1791,2523875614.02043,1262504496.2480576,252568524.34097376,1008802593.4313986,0.0,660261.2974008505,128484137.39517397,0.2721629475386181,2550,3.171862772433087e-09,1969558247.65,0.0,0.0,1.610443751139439e-16,100.0,25
-20.9825,116.8648,AUS.WA.335472,18558,28000,17000,5000,1000,2985708089.1266875,1095472681.004913,1293654749.4677837,596580658.6539906,0.0,390462.04108903685,103410844.06056364,0.2190511661405803,875,1.2278178473934531e-09,1969558247.65,0.0,0.0,6.233975810862346e-17,100.0,25
-27.4555,120.5775,AUS.WA.335559,21616,7000,17000,9000,2158,2581959297.618142,1228586341.0687556,454917465.1495247,898455491.3998619,0.0,588039.1191212096,119843585.9577027,0.2538600037258082,2475,3.2628122426103805e-09,1969558247.65,0.0,0.0,1.65662134973842e-16,100.0,25
-35.0613,149.5717,AUS.NSW.335841,27244,6000,17000,10000,1845,2542816552.5660048,1227695965.2025585,293305136.08564395,1021815451.277802,0.0,668778.2128613213,134372531.49496245,0.2846361035791835,1575,2.205524651799351e-09,1969558247.65,0.0,0.0,1.1198067660252732e-16,100.0,25
-29.5,152.4897,AUS.NSW.335959,25130,9000,17000,8000,1434,2302946099.037278,1036497243.783273,24500635.46406577,1241948219.7899394,0.0,812855.1098525154,153654091.9023381,0.3254794825363463,975,1.2960299500264227e-09,1969558247.65,0.0,0.0,6.580307800354699e-17,100.0,25
-34.1848,147.3854,AUS.NSW.455899,20194,30000,17000,5000,2776,2951923769.168688,981116201.4143108,1286278816.2978716,684528751.4565053,0.0,448024.0678282827,115527385.3822655,0.2447171640368444,1450,1.932676241267472e-09,1969558247.65,0.0,0.0,9.812739702283324e-17,100.0,25
